tweet_text,cyberbullying_type
need explain hope well r,0
ka e eu e mama commando come due muller fall bullying in,0
pizza om pizza mecca om,0
would pay money see feline mother,0
yep plenty barney council anything else honest,0
kat still competition get get,0
devouring hard right,0
always get hungry watching,0
know b hard times have cry fight test test it ready 2 take chance r,0
russia russian attack maidan 100 lie beginning,0
anyone else would least laurel s say would look answer s work,0
men going push real change power generally need help,0
oh yeah still know,0
unlike men fix fit giant fucking swelled,0
yo check much eyestrain,0
see logic screwed morals,0
liana diana boss ross supreme,0
to tu a na vale dada nada dry ka faze him vow today faze bullying come else ka,0
maybe yet another secret round coin colin pet pete man winner declared bigger dickhead,0
10 am km peshmerga peshmerga within artillery range mogul mosul dash forcing fight,0
got set existing linked old work fine,0
man really wanted take,0
stay crib school gym fucking,0
kind cold want stop wearing superhero outfit,0
dash many fight concentrated manpower succeed,0
meat fish breakfast,0
bully living lot,0
much shit start sleeping right laundry final college wait,0
unit unix loins restricted 8 darling freed son git believe son history imported,0
incidentally know editor woman teach tech factual info,0
hah give better classy broad,0
whole equality thing getting hand leave,0
stay twitter class,0
absolutely idea phrase saving room dessert means,0
even disturbing number people want watch,0
treating like better totally sexist,0
vote got mine mama,0
good money monday morning sun shining always good thing october october brighten return work,0
dash bane countryside fast soon follow aqua,0
girl bill cunningham cunningham dead boyfriend twin brother like to,0
dealing back forth monologue even interviewer woman,0
one classy zone love shoes,0
another round instant serious yawn,0
good send fee copy running low toilet paper,0
nova neva met bully night nigga could beat,0
thanks goodness internet people bully anonymously right confront,0
hanging outside marquis across dc come say hi,0
understand bad sportsmanship,0
moon lipid sipid i di koto kota or did dia naval i di bully aka,0
nab steam library would never buy game,0
being bing least post survival report next time,0
practice today life,0
company sorry crazy year,0
sunny sunni turkey turkmen overwhelmingly supported sis isis hopefully every single one flee aqua,0
done bother rest pathetic shit show,0
girl even know point,0
best statement seen west needs 2 makeup fully support,0
chicken liver bad choice,0
looking forward seeing,0
comment runway get no ground,0
fuck watch another round,0
top supposed devil living peacefully allay allah act like devil,0
quick dinner oven went shower sat watch think dinner ready,0
lot kat antre,0
school taught us anything testing without looking,0
stuffing instant couscous immediate elimination,0
than do go can dan asking go spa ya final go bully ya khan,0
see mercy is bullying we se come mercy,0
hope era zebra win competition,0
oh look ban well guess take care got 2 thanks concern,0
rotting flesh ice refrigeration medieval conditions half town dead escaped,0
fossa aura aula de bullying come super oriental a da,0
soon possible rocky my mm my mm voice sexy care,0
neat done untuck leash each partner go untuck bully kami,0
need chill sometime soon everyone bel home college,0
bullying subscribe free bully blog ass feed,0
congratulations hen see road soon,0
kat antre make want punch happy things,0
of ok officially dislike kat,0
agree slam islam stay home display,0
yes midget felt like bulldozer,0
prefer sweet savory savoury breakfast way,0
hah dandy ma uma polo fake depart come eta frame frase trio bullying contra of os,0
past 12 his go saw its in min man max majority nonet came not bot,0
oh gosh hope feel better,0
must read jezebel must,0
man hump please stop telling us but b factory care chilled whole year history class,0
took bother anyone disagree whim,0
quality panda tonight pretty equivalent go policy,0
bullying we se e eu sugar um gigolo a na sun care e finger due estate de,0
pajama yo ago bullying soy sit soy my x d,0
around 20 is get class 150,0
forgot annoying drank,0
would make night two miserably tonight awful,0
impressed madras pod phd slam islam tell,0
another bloody instant restaurant week seriously shark riding two powered sh,0
bubble squeak breakfast mad,0
pretty sure vile triarchy,0
really bad data scientist worst ever,0
invite did dia names far sun rostra de for um undo method see bullying see,0
feel one hell ride thanks inclusion,0
also told people article even talk without asking,0
make sure bully bed room get hands make sure play music swell aswell wife,0
