tweet_text,label
I It maybe I need To So I Can Get I On Ya Level Lol,0
I barely tolerate Kat Andre  Katie Nikki annoying I would rather see Kat Andre,0
To sofrendo Bully da acho que shausa  aiai,0
Who assumed ,0
I love waking dream want,0
weird  address account  sure need add wishlist ,0
bible  The one angry bullying vengeful spiteful child hating woman hating homophobic god  That bible ,0
lol welcome  When next non bully fight ,0
This dangerously accurate,0
So Hadiths I copied USC Muslim students Hadith database  Look ,0
congrats ,0
Ehh boring stage,0
Annie Lloyd  vote  It pronounced  voite  ,0
yeah  got cron kick  must kicking properly ,0
nigga look like odb first goy outta high school,0
Vibrating excitement  Every day brings us closer able make announcement ,0
care likes amp  ,0
Remember spot Cantlie stood Kobane announce ISIS full control  It hands Kurds ,0
Unrelated Highlander  I also prefer Fletch Lives first reason GB 2  Funnier  bottom line ,0
Maybe yet another secret round Colin cooks Pete amp  Manu amp  winner declared bigger dickhead,0
Guess taking revenge Daesh murders ,0
Bullying e otimo  Apartir momento que e praticado com voc ,0
Cramps hell  Wah ,0
How get away  Kat amp  Andre cunts ,0
The Quran ,0
Hey  prophet Mohammed actually  talk  So problem ,0
emosi tingkat dewa  parah  puasa2 adaa aja ya yg nge bully,0
Viewers turning MKR Perth pair Kat Andre desperate strategic scoring,0
I fan dreadlocks  I could never  Charlie looks good though ,0
Butterflies stomach gosh,0
Mi teacher esta en contra del bullying  pero ah como le encanta burlarse de Ninel Conde ,0
oh god please please stop,0
Yes dish refined  nothing says refined like lazy put fucking tart together,0
2 hours,0
lt  pain running deeper thee ocean,0
Hollywood Moron Day tcot 2A LIAM NEESON ON PARIS ATTACK  US GUN OWNERSHIP A  BLEEPING  DISGRACE,0
played song Another face Crowd  Clockwork Bully,0
hablando del bullying el pasado bully de,0
Yay Jac Shaz Robert Lynzey  My faves ,0
And fool read Stephan Bandera find Nazi ideaology ,0
Excavation work commences Hale job spades ready lol,0
BBC News  Study finds third teachers bullied online,0
Boycott schools begins across Turkey,0
Can girls stop talking pretty  Who talks like  narcissisticmuch ,0
lol,0
Horse shit  The Quran says apostacy accepted  Multiple Hadiths say apostates must killed ,0
got class,0
MKR tonight  sassy overload,0
This last thing I need right,0
Islamic State Resupply Route Extended 400 km After Peshmerga Take Mosul Sinjar Road ISI,0
yes  absolutely  Almost exclusively used women arguing men ,0
like women refrigerators trope  going say comics exist ,0
Good  The Iranians impose sick rule ,0
I love engLisH cLass  ,0
 05 SB  Getting Ike 4th  Parker undrafted  A No  1 amp  No1 back still hitting top picks  champion,0
First impression I want someone  solid I work  definitely going suck dick ,0
Sanctions kill anyone  birdbrain  There sanctions Iraq buying food  You people deluded ever ,0
Use ketchup,0
Why would I let bait  LOL  Easier kill Daesh zero loses  Your price primitive,0
good,0
The Full Body Project Leonard Nimoy  NSFW ,0
Wishing arena partner  gt  gt  Really want get PvP happening ,0
original content  RT ,0
YOUS  blogger  critic Islam hacked death  reports,0
Lmao  fucking imagine  Yikes  ,0
Some coworkers ,0
quip played classification would take clairton quip,0
And dozens witnesses seen Russians target civilians propaganda,0
lot harder  developer policy prohibits ,0
We seen influx younger parents Wisconsin  Doing help ,0
