tweet_text,cyberbullying_type
true world colored viewpoint ever see protest 2 much,ethnicity
bully one white kid school s christian fellowship club rest come pack,age
gay rape joke often complain observation man frequently control libido simply made observation sex prison get right thanks,gender
need explain hope well r,not_cyberbullying
ka e eu e mama commando come due muller fall bullying in,not_cyberbullying
right christian woman,religion
men zoo stupid jazz queen straight coz people scum jazz fucking ruining everything white people dumb amrita lot fucking fuck seriously world divided thanks,ethnicity
shut make bitch,gender
fuck fighting nobody going win war racism still alive yellow tape colored,ethnicity
obvious a ga sports nut would explain,gender
school bully pants,age
matched girl or jr high help me,age
pizza om pizza mecca om,not_cyberbullying
watching bar yesterday school yard bully got caught pushing little kid ground bluster could answer simple yes question obviously good,age
seen someone write status kind legit high school sixth form much much pain audacity say girl bye,age
high school gnome,age
relate girl extent put probation telling two white first high school would fuck course white deal police evidence yet one got bullet sh,age
drunk mom red ice snow globe costume girl high school picked meet greet,age
dumb fuck saying white people smart smart speak proper white copying,ethnicity
gay rape sexist,gender
ana told you need stop like fuck dumb nigger it 3,ethnicity
say yesterday world lost one best people ever met always made everyone around laugh life cut short thanks piece shit high school bully please think speak words all may rest peace,age
let us expose high school band like shay fuck decent kind hearted people was,age
nigger look act avian asian fuck wrong dumb ass,ethnicity
best frank be bb lied superman made rape joke misrepresented,gender
would pay money see feline mother,not_cyberbullying
good something good gay rape,gender
one girl primary school hated much girl primary school bully,age
radical islamic islamic terrorism hijack peace world boom,religion
hey ted coho okay elected official wife mother sister female member family fucking bitch depth hoped country would sink time would considered dishonorable,gender
stupid comment hitter hitler religious muslin muslim lie truth hitter hitler admired,religion
yep plenty barney council anything else honest,not_cyberbullying
dumb niggle said fuck see type type only ignorant nigger falls repeated spell,ethnicity
kat still competition get get,not_cyberbullying
burr made it fuck mama dumb ass nigger,ethnicity
bitch slut fuck suck dick stupid bop bitch whore hoe nigger pussy shit dumb ass coon bearer beaner gook cracker fag lit clit,ethnicity
arguing white people troubled past racism right today used sides divide people personal political gains think bum anything standing black people would wrong,ethnicity
get fuck country dumb nigger whore,ethnicity
devouring hard right,not_cyberbullying
year 7 sky 10 sky extremely new school sat front gate looking sad one scared 1 say hi 2 bully her mock idea,age
high fashion twitter go school wearing slip get day come home log bell gadid ai twitter account call people fat group post candy somberly tweet coke,age
prophet muhammad muhammad saw jihad serve humanity love kindness peace jihad kill maim innocent people,religion
talk islamic islamic terrorism man comes religion say islamic islamic terrorism even exist whole world deny threat islamic islamic terrorism comes side nothing best,religion
one thing fucking blood boil country call black people like stop dumb cunt loving tractor bitch,ethnicity
drill use say female reason guess aggression voice made feel like calling bitch swear could call bitch face believe version,gender
catch situation president take away school funding open bully moreover one person bring virus home school spread matter location,age
human humanity teach jihad war protecting humanity human kudos god bless always,religion
lying sis isis prophet mohammed 100 islamic islamic terrorist,religion
mom obsessed caloric intake fitness weight really image girl dad really high natural metabolism worked construction 90 life could eat k day stay thin,age
r fuel hell fire jihad terminator terminatory humanity,religion
pakistan obsessed jihad left humanity raise ape to ko marine child diva take much insanity bach had tum logo mean mein,religion
hah idiot my mr distant asshole arsehole person case vision christian farmer connection case herald shame,religion
people stop using autism cancer retarded rape gay common try think saw,gender
saw type person school would bully,age
always get hungry watching,not_cyberbullying
